estado;inicio;varinicio;varfim;pt_v;id;vir;inteiro;real;literal;leia;escreva;lit;num;atr;opa;se;ab_p;fc_p;entao;opr;fimse;fim;eof
24;ERRO-24-inicio;ERRO-24-varinicio;ERRO-24-varfim;ERRO-24-pt_v;ERRO-24-id;ERRO-24-vir;ERRO-24-inteiro;ERRO-24-real;ERRO-24-literal;ERRO-24-literal;ERRO-24-escreva;ERRO-24-lit;ERRO-24-num;ERRO-24-atr;ERRO-24-opa;ERRO-24-se;ERRO-24-ab_p;ERRO-24-fc_p;ERRO-24-entao;ERRO-24-opr;ERRO-24-fimse;ERRO-24-fim;R23
25;ERRO-25-inicio;ERRO-25-varinicio;ERRO-25-varfim;S41;ERRO-25-id;ERRO-25-vir;ERRO-25-inteiro;ERRO-25-real;ERRO-25-literal;ERRO-25-literal;ERRO-25-escreva;ERRO-25-lit;ERRO-25-num;ERRO-25-atr;ERRO-25-opa;ERRO-25-se;ERRO-25-ab_p;ERRO-25-fc_p;ERRO-25-entao;ERRO-25-opr;ERRO-25-fimse;ERRO-25-fim;ERRO-25-eof
26;ERRO-26-inicio;ERRO-26-varinicio;ERRO-26-varfim;S42;ERRO-26-id;ERRO-26-vir;ERRO-26-inteiro;ERRO-26-real;ERRO-26-literal;ERRO-26-literal;ERRO-26-escreva;ERRO-26-lit;ERRO-26-num;ERRO-26-atr;ERRO-26-opa;ERRO-26-se;ERRO-26-ab_p;ERRO-26-fc_p;ERRO-26-entao;ERRO-26-opr;ERRO-26-fimse;ERRO-26-fim;ERRO-26-eof
27;ERRO-27-inicio;ERRO-27-varinicio;ERRO-27-varfim;R14;ERRO-27-id;ERRO-27-vir;ERRO-27-inteiro;ERRO-27-real;ERRO-27-literal;ERRO-27-literal;ERRO-27-escreva;ERRO-27-lit;ERRO-27-num;ERRO-27-atr;ERRO-27-opa;ERRO-27-se;ERRO-27-ab_p;ERRO-27-fc_p;ERRO-27-entao;ERRO-27-opr;ERRO-27-fimse;ERRO-27-fim;ERRO-27-eof
28;ERRO-28-inicio;ERRO-28-varinicio;ERRO-28-varfim;R15;ERRO-28-id;ERRO-28-vir;ERRO-28-inteiro;ERRO-28-real;ERRO-28-literal;ERRO-28-literal;ERRO-28-escreva;ERRO-28-lit;ERRO-28-num;ERRO-28-atr;ERRO-28-opa;ERRO-28-se;ERRO-28-ab_p;ERRO-28-fc_p;ERRO-28-entao;ERRO-28-opr;ERRO-28-fimse;ERRO-28-fim;ERRO-28-eof
29;ERRO-29-inicio;ERRO-29-varinicio;ERRO-29-varfim;R16;ERRO-29-id;ERRO-29-vir;ERRO-29-inteiro;ERRO-29-real;ERRO-29-literal;ERRO-29-literal;ERRO-29-escreva;ERRO-29-lit;ERRO-29-num;ERRO-29-atr;ERRO-29-opa;ERRO-29-se;ERRO-29-ab_p;ERRO-29-fc_p;ERRO-29-entao;ERRO-29-opr;ERRO-29-fimse;ERRO-29-fim;ERRO-29-eof
30;ERRO-30-inicio;ERRO-30-varinicio;ERRO-30-varfim;ERRO-30-pt_v;S45;ERRO-30-vir;ERRO-30-inteiro;ERRO-30-real;ERRO-30-literal;ERRO-30-literal;ERRO-30-escreva;ERRO-30-lit;S46;ERRO-30-atr;ERRO-30-opa;ERRO-30-se;ERRO-30-ab_p;ERRO-30-fc_p;ERRO-30-entao;ERRO-30-opr;ERRO-30-fimse;ERRO-30-fim;ERRO-30-eof
31;ERRO-31-inicio;ERRO-31-varinicio;ERRO-31-varfim;ERRO-31-pt_v;R24;ERRO-31-vir;ERRO-31-inteiro;ERRO-31-real;ERRO-31-literal;R24;R24;ERRO-31-lit;ERRO-31-num;ERRO-31-atr;ERRO-31-opa;R24;ERRO-31-ab_p;ERRO-31-fc_p;ERRO-31-entao;ERRO-31-opr;R24;R24;ERRO-31-eof
32;ERRO-32-inicio;ERRO-32-varinicio;ERRO-32-varfim;ERRO-32-pt_v;S12;ERRO-32-vir;ERRO-32-inteiro;ERRO-32-real;ERRO-32-literal;S10;S11;ERRO-32-lit;ERRO-32-num;ERRO-32-atr;ERRO-32-opa;S14;ERRO-32-ab_p;ERRO-32-fc_p;ERRO-32-entao;ERRO-32-opr;S35;ERRO-32-fim;ERRO-32-eof
33;ERRO-33-inicio;ERRO-33-varinicio;ERRO-33-varfim;ERRO-33-pt_v;S12;ERRO-33-vir;ERRO-33-inteiro;ERRO-33-real;ERRO-33-literal;S10;S11;ERRO-33-lit;ERRO-33-num;ERRO-33-atr;ERRO-33-opa;S14;ERRO-33-ab_p;ERRO-33-fc_p;ERRO-33-entao;ERRO-33-opr;S35;ERRO-33-fim;ERRO-33-eof
